Key,M,Lazing,HashFamily,Runs,TimeMean_ms,TimeStd_ms,TimeMedian_ms,IncorrectMean,IncorrectStd,IncorrectRate_%,TimePerOp_us
employee_id,1,False,deterministic,50,3.4467803600043463,0.2398637908622523,3.4559379999938855,0.0,0.0,0.0,3.4467803600043463
employee_id,1,False,random,50,3.566460840001895,0.20933298071997244,3.5413525000240753,0.0,0.0,0.0,3.5664608400018953
employee_id,1,True,deterministic,50,0.46215390000526213,0.00906035895291825,0.4603940000098561,493.94,17.976640170975628,49.394,0.46215390000526213
employee_id,1,True,random,50,0.5972254599991444,0.012081307834690956,0.5950189999923694,494.46,16.71148938757466,49.446,0.5972254599991446
employee_id,10,False,deterministic,50,0.8416324400058173,0.09341243444455054,0.820297499983802,0.0,0.0,0.0,0.8416324400058172
employee_id,10,False,random,50,0.9589215800010464,0.0363380388959522,0.9513900000071018,0.0,0.0,0.0,0.9589215800010464
employee_id,10,True,deterministic,50,0.49736411999813157,0.12833811531139666,0.46534949998555675,463.12,15.680014577252704,46.312,0.49736411999813157
employee_id,10,True,random,50,0.6201628400010861,0.058463962308690505,0.6063604999795302,458.68,14.243423115277338,45.868,0.6201628400010861
employee_id,100,False,deterministic,50,0.5288713399977851,0.008341510347676988,0.5289644999626475,0.0,0.0,0.0,0.528871339997785
employee_id,100,False,random,50,0.6761126199992873,0.025515357270059217,0.6701475000037149,0.0,0.0,0.0,0.6761126199992873
employee_id,100,True,deterministic,50,0.4602423599994765,0.006426821672228874,0.4603819999804415,286.78,17.254742027888433,28.677999999999997,0.4602423599994765
employee_id,100,True,random,50,0.5937802399999015,0.005554391915705504,0.5932925000067257,286.98,16.527639188427877,28.698,0.5937802399999015
employee_id,1000,False,deterministic,50,0.5352695199954383,0.04231495916244777,0.5197535000007747,0.0,0.0,0.0,0.5352695199954383
employee_id,1000,False,random,50,0.6407139199990652,0.03268299470187133,0.6338304999955469,0.0,0.0,0.0,0.6407139199990651
employee_id,1000,True,deterministic,50,0.47705150000226126,0.01356862001852165,0.4730880000209936,54.32,8.122631522920564,5.432,0.47705150000226126
employee_id,1000,True,random,50,0.61889803999577,0.0188705100439062,0.6116939999909476,54.2,7.669180303696884,5.42,0.61889803999577
salary,1,False,deterministic,50,3.5872242000029426,0.5789567398002873,3.5110244999945195,0.32,0.551065757771026,0.032,3.5872242000029426
salary,1,False,random,50,3.5857649000014296,0.2581398230503441,3.563238000005242,0.32,0.6527805519311921,0.032,3.5857649000014296
salary,1,True,deterministic,50,0.4635493400003554,0.009621269249984655,0.46123800001485193,488.4,16.712454112097944,48.84,0.4635493400003554
salary,1,True,random,50,0.6072847999978137,0.03067629672931834,0.5986580000012509,490.54,18.598013938294038,49.054,0.6072847999978137
salary,10,False,deterministic,50,3.380485120002348,0.22700002959974874,3.371585000013333,0.16,0.509501557146486,0.016,3.380485120002348
salary,10,False,random,50,0.9961986600014328,0.052159253221041424,0.9935520000166065,0.26,0.5646020812962715,0.026,0.9961986600014326
salary,10,True,deterministic,50,0.4644984599984525,0.014741114388955902,0.4609719999875139,489.72,15.724723806016767,48.972,0.4644984599984525
salary,10,True,random,50,0.5892924600012961,0.011322033517654623,0.5886989999712711,457.42,14.305828696509604,45.742,0.5892924600012962
salary,100,False,deterministic,50,3.442666099999485,0.2455993428552091,3.4611540000026864,0.12,0.32826072265931594,0.012,3.442666099999485
salary,100,False,random,50,0.6988889000022169,0.03930492290217184,0.6863924999800375,0.22,0.5816935163286381,0.022,0.6988889000022169
salary,100,True,deterministic,50,0.5068720800025872,0.10225780280613087,0.47551150002167475,494.28,16.058617115849962,49.428,0.5068720800025872
salary,100,True,random,50,0.6323591000015227,0.11256256807658556,0.6071874999920013,281.48,18.659396057335016,28.148,0.6323591000015227
salary,1000,False,deterministic,50,3.8230240800016806,1.1524586142065876,3.5727134999978816,0.5,1.1293848786315641,0.05,3.8230240800016806
salary,1000,False,random,50,0.6722878800005105,0.045714225876704255,0.6579359999907552,0.12,0.4351870346207948,0.012,0.6722878800005105
salary,1000,True,deterministic,50,0.474523140000791,0.034131513670819624,0.4637735000176946,490.9,15.599908424639649,49.09,0.474523140000791
salary,1000,True,random,50,0.6255544200045193,0.019226351516978303,0.6194379999904243,53.16,15.33883959105121,5.316,0.6255544200045193
